"","s0"
"lh_bankssts_area",-0.0670186766102938
"lh_caudalanteriorcingulate_area",0
"lh_caudalmiddlefrontal_area",0
"lh_cuneus_area",0
"lh_entorhinal_area",0
"lh_fusiform_area",0.196309422175458
"lh_inferiorparietal_area",0
"lh_inferiortemporal_area",0
"lh_isthmuscingulate_area",0
"lh_lateraloccipital_area",-0.208617464778154
"lh_lateralorbitofrontal_area",0
"lh_lingual_area",-0.2109146469492
"lh_medialorbitofrontal_area",0
"lh_middletemporal_area",0
"lh_parahippocampal_area",0
"lh_paracentral_area",0
"lh_parsopercularis_area",0
"lh_parsorbitalis_area",0.126261327572465
"lh_parstriangularis_area",0
"lh_pericalcarine_area",-0.199167527566693
"lh_postcentral_area",0
"lh_posteriorcingulate_area",0
"lh_precentral_area",0
"lh_precuneus_area",0
"lh_rostralanteriorcingulate_area",0
"lh_rostralmiddlefrontal_area",0
"lh_superiorfrontal_area",0
"lh_superiorparietal_area",0
"lh_superiortemporal_area",-0.0907403016534764
"lh_supramarginal_area",0.161710944699892
"lh_frontalpole_area",0.0111216921880719
"lh_temporalpole_area",0.0331447096977781
"lh_transversetemporal_area",0
"lh_insula_area",0
"lh_WhiteSurfArea_area",0
"lh_bankssts_thickness",0
"lh_caudalanteriorcingulate_thickness",0
"lh_caudalmiddlefrontal_thickness",0
"lh_cuneus_thickness",0
"lh_entorhinal_thickness",0.102694581783149
"lh_fusiform_thickness",0.17925146832859
"lh_inferiorparietal_thickness",-0.0632455301392547
"lh_inferiortemporal_thickness",-0.166644234637498
"lh_isthmuscingulate_thickness",0
"lh_lateraloccipital_thickness",0
"lh_lateralorbitofrontal_thickness",0
"lh_lingual_thickness",0
"lh_medialorbitofrontal_thickness",0
"lh_middletemporal_thickness",0
"lh_parahippocampal_thickness",0
"lh_paracentral_thickness",0.00134060670496649
"lh_parsopercularis_thickness",0
"lh_parsorbitalis_thickness",-0.0248195182183094
"lh_parstriangularis_thickness",0
"lh_pericalcarine_thickness",0
"lh_postcentral_thickness",0
"lh_posteriorcingulate_thickness",-0.137186111775939
"lh_precentral_thickness",0
"lh_precuneus_thickness",0
"lh_rostralanteriorcingulate_thickness",-0.185217967721617
"lh_rostralmiddlefrontal_thickness",0
"lh_superiorfrontal_thickness",0
"lh_superiorparietal_thickness",0
"lh_superiortemporal_thickness",0
"lh_supramarginal_thickness",-0.354328828633577
"lh_frontalpole_thickness",0
"lh_temporalpole_thickness",0
"lh_transversetemporal_thickness",-0.0135693636882075
"lh_insula_thickness",0
"lh_MeanThickness_thickness",0
"lh_bankssts_volume",-7.69579905057897e-05
"lh_caudalanteriorcingulate_volume",0
"lh_caudalmiddlefrontal_volume",0
"lh_cuneus_volume",0
"lh_entorhinal_volume",0.161271761291608
"lh_fusiform_volume",0
"lh_inferiorparietal_volume",0
"lh_inferiortemporal_volume",0
"lh_isthmuscingulate_volume",0
"lh_lateraloccipital_volume",0
"lh_lateralorbitofrontal_volume",0
"lh_lingual_volume",-0.184075979492363
"lh_medialorbitofrontal_volume",-0.00689153197361525
"lh_middletemporal_volume",0
"lh_parahippocampal_volume",-0.0394247384550222
"lh_paracentral_volume",0
"lh_parsopercularis_volume",-0.0336162926792065
"lh_parsorbitalis_volume",0
"lh_parstriangularis_volume",-0.0874927722258374
"lh_pericalcarine_volume",0
"lh_postcentral_volume",0
"lh_posteriorcingulate_volume",-0.0771020371534099
"lh_precentral_volume",0.0479985531857868
"lh_precuneus_volume",0
"lh_rostralanteriorcingulate_volume",0
"lh_rostralmiddlefrontal_volume",0
"lh_superiorfrontal_volume",0
"lh_superiorparietal_volume",0
"lh_superiortemporal_volume",0
"lh_supramarginal_volume",0
"lh_frontalpole_volume",0
"lh_temporalpole_volume",0.0115832696540246
"lh_transversetemporal_volume",0
"lh_insula_volume",0
